ID Number,Date,Activity,Start Time,End Time,Sleep Location,Break Location
0659,1/6/2010,C,3:45,4:17,,
0659,1/6/2010,W,4:17,8:30,,
0659,1/6/2010,I,8:30,15:25,,Off train
0659,1/6/2010,W,15:25,17:20,,
0659,1/6/2010,C,17:20,17:35,,
0659,1/6/2010,P,17:35,21:30,,
0659,1/6/2010,S,21:30,3:00,H,
0659,1/7/2010,P,3:00,3:45,,
0659,1/7/2010,C,3:45,4:17,,
0659,1/7/2010,W,4:17,8:30,,
0659,1/7/2010,I,8:30,15:25,,Off train
0659,1/7/2010,W,15:25,17:20,,
0659,1/7/2010,C,17:20,17:35,,
0659,1/7/2010,P,17:35,21:30,,
0659,1/7/2010,S,21:30,3:00,H,
0659,1/8/2010,P,3:00,3:45,,
0659,1/8/2010,C,3:45,4:17,,
0659,1/8/2010,W,4:17,8:30,,
0659,1/8/2010,I,8:30,15:25,,Off train
0659,1/8/2010,W,15:25,17:20,,
0659,1/8/2010,C,17:20,17:35,,
0659,1/8/2010,P,17:35,21:30,,
0659,1/8/2010,S,21:30,7:30,H,
0659,1/9/2010,P,7:30,20:00,,
0659,1/9/2010,S,20:00,7:30,H,
0659,1/10/2010,P,7:30,21:00,,
0659,1/10/2010,S,21:00,3:00,H,
0659,1/11/2010,P,3:00,3:45,,
0659,1/11/2010,C,3:45,4:17,,
0659,1/11/2010,W,4:17,8:30,,
0659,1/11/2010,I,8:30,15:25,,Off train
0659,1/11/2010,W,15:25,17:20,,
0659,1/11/2010,C,17:20,17:35,,
0659,1/11/2010,P,17:35,21:30,,
0659,1/11/2010,S,21:30,3:00,H,
0659,1/12/2010,P,3:00,3:45,,
0659,1/12/2010,C,3:45,4:17,,
0659,1/12/2010,W,4:17,8:30,,
0659,1/12/2010,I,8:30,15:25,,Off train
0659,1/12/2010,W,15:25,17:20,,
0659,1/12/2010,C,17:20,17:35,,
0659,1/12/2010,P,17:35,21:00,,
0659,1/12/2010,S,21:00,3:00,H,
0659,1/13/2010,P,3:00,3:45,,
0659,1/13/2010,C,3:45,4:17,,
0659,1/13/2010,W,4:17,8:30,,
0659,1/13/2010,I,8:30,15:25,,Off train
0659,1/13/2010,W,15:25,17:20,,
0659,1/13/2010,C,17:20,17:35,,
0659,1/13/2010,P,17:35,21:30,,
0659,1/13/2010,S,21:30,3:00,H,
0659,1/14/2010,P,3:00,3:45,,
0659,1/14/2010,C,3:45,4:17,,
0659,1/14/2010,W,4:17,8:30,,
0659,1/14/2010,I,8:30,15:25,,Off train
0659,1/14/2010,W,15:25,17:20,,
0659,1/14/2010,C,17:20,17:35,,
0659,1/14/2010,P,17:35,21:30,,
0659,1/14/2010,S,21:30,3:00,H,
0659,1/15/2010,P,3:00,3:45,,
0659,1/15/2010,C,3:45,4:17,,
0659,1/15/2010,W,4:17,8:30,,
0659,1/15/2010,I,8:30,15:25,,Off train
